DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank,Shape_Leng,Shape_Area
S01006735,Kingswells - 04,Aberdeen City,578,346,6912,5,10,20,100,1%,5,6911.00000000000,1%,4,6866.00000000000,35,31,0,59,14%,0%,53,6561,91%,6.06000000000,34,3%,12%,5963,3.47000000000,1.78000000000,1.60000000000,2.60000000000,6.80000000000,7.40000000000,6.17000000000,8.10000000000,16.90000000000,0%,3599,3,53,6117.00000000000,22,2,4%,0%,6199.50000000000,2716.83489312000,246191.16683700000
S01006736,Kingswells - 05,Aberdeen City,1126,775,6228,5,9,18,90,3%,35,5917.00000000000,2%,17,6331.00000000000,30,15,10,29,12%,5%,61,6702,92%,6.00000000000,25,1%,19%,6507,5.74000000000,2.32000000000,3.10000000000,3.39000000000,8.82000000000,9.68000000000,6.00000000000,9.30000000000,30.39000000000,4%,1255,3,27,6616.00000000000,6,0,1%,0%,6949.00000000000,2615.49119830000,271682.47716200000
S01006737,Kingswells - 06,Aberdeen City,905,582,6124,5,9,18,88,2%,16,6576.00000000000,3%,19,5655.00000000000,45,36,34,66,15%,0%,56,6043,93%,5.83000000000,44,1%,21%,6137,3.28000000000,2.74000000000,2.55000000000,3.80000000000,6.02000000000,7.00000000000,8.42000000000,10.69000000000,15.57000000000,8%,1674,9,101,5098.00000000000,38,0,6%,0%,5520.00000000000,9111.12061706000,2689641.46192000000
S01006738,Bucksburn South - 01,Aberdeen City,909,686,3753,3,6,11,54,7%,65,4198.00000000000,6%,41,4170.50000000000,60,170,61,81,16%,6%,105,3986,74%,4.40000000000,84,4%,8%,1815,2.19000000000,1.86000000000,2.79000000000,2.91000000000,3.47000000000,3.92000000000,5.87000000000,7.44000000000,6.67000000000,33%,4386,36,401,1495.00000000000,94,16,11%,2%,2665.00000000000,5149.65969523000,564847.98059500000
S01006739,Bucksburn South - 02,Aberdeen City,1226,902,5737,5,9,17,83,3%,42,5749.50000000000,3%,30,5568.00000000000,45,41,22,81,17%,5%,85,5247,84%,5.57000000000,70,2%,10%,4120,2.09000000000,2.59000000000,1.84000000000,3.67000000000,3.80000000000,2.94000000000,6.70000000000,5.69000000000,5.19000000000,16%,4789,20,165,3938.00000000000,76,32,13%,5%,1528.00000000000,3650.10416561000,508526.04113200000
S01006740,Bucksburn South - 03,Aberdeen City,766,501,3572,3,6,11,52,8%,65,3789.00000000000,9%,42,3196.00000000000,90,101,57,77,18%,3%,102,3398,81%,4.69000000000,105,3%,10%,2417,2.51000000000,1.41000000000,1.76000000000,3.88000000000,3.48000000000,5.93000000000,4.72000000000,6.47000000000,12.23000000000,0%,5274,16,212,3230.00000000000,109,6,15%,1%,1998.00000000000,2278.46275942000,151166.49247500000
S01006741,Bucksburn South - 04,Aberdeen City,659,353,2882,3,5,9,42,11%,70,3243.00000000000,11%,38,2451.00000000000,90,219,79,93,22%,20%,129,2399,83%,5.42000000000,129,2%,2%,2295,3.09000000000,2.13000000000,1.79000000000,2.74000000000,4.41000000000,6.44000000000,6.50000000000,6.24000000000,13.42000000000,0%,4194,10,154,4119.00000000000,64,6,10%,1%,3533.00000000000,2146.15007958000,119855.15361900000
S01006742,Bucksburn South - 05,Aberdeen City,460,260,2683,2,4,8,39,12%,56,2856.50000000000,12%,31,2202.00000000000,100,114,140,109,21%,0%,87,2985,80%,5.27000000000,101,0%,3%,2747,3.62000000000,2.66000000000,2.32000000000,2.30000000000,4.77000000000,6.76000000000,6.93000000000,6.90000000000,13.84000000000,0%,3347,13,286,2375.00000000000,37,0,8%,0%,4493.00000000000,1399.56499596000,67441.83200450000
S01006743,Bucksburn North - 01,Aberdeen City,728,500,4619,4,7,14,67,3%,25,5746.00000000000,5%,26,4519.00000000000,50,113,140,117,18%,10%,92,4250,76%,5.42000000000,74,2%,5%,2854,3.20000000000,3.86000000000,4.14000000000,1.37000000000,4.62000000000,6.28000000000,11.19000000000,9.90000000000,11.32000000000,17%,1954,13,181,3699.00000000000,38,7,7%,1%,4320.00000000000,3767.88967002000,594101.18567300000
S01006744,Bucksburn North - 02,Aberdeen City,638,467,4034,3,6,12,58,6%,41,4454.00000000000,6%,29,4055.00000000000,80,104,40,95,17%,4%,103,3599,78%,5.21000000000,91,3%,6%,2655,1.73000000000,2.29000000000,2.84000000000,2.58000000000,3.21000000000,5.21000000000,9.90000000000,7.89000000000,11.16000000000,0%,3999,17,270,2506.00000000000,84,14,14%,2%,1859.00000000000,2451.74123376000,195782.66405100000
