Year of occurrence,Month of occurrence,Sex,Council area,Number of deaths
2020,March,Females,Renfrewshire,95
2020,March,Females,Scottish Borders,56
2020,March,Females,Shetland Islands,13
2020,March,Females,South Ayrshire,77
2020,March,Females,South Lanarkshire,178
2020,March,Females,Stirling,38
2020,March,Females,West Dunbartonshire,53
2020,March,Females,West Lothian,80
2020,March,Males,Scotland,2856
2020,March,Males,Aberdeen City,118
2020,March,Males,Aberdeenshire,122
2020,March,Males,Angus,63
2020,March,Males,Argyll and Bute,53
2020,March,Males,City of Edinburgh,223
2020,March,Males,Clackmannanshire,21
2020,March,Males,Dumfries and Galloway,100
2020,March,Males,Dundee City,82
2020,March,Males,East Ayrshire,84
2020,March,Males,East Dunbartonshire,61
2020,March,Males,East Lothian,48
2020,March,Males,East Renfrewshire,38
2020,March,Males,Falkirk,98
2020,March,Males,Fife,176
2020,March,Males,Glasgow City,296
2020,March,Males,Highland,123
2020,March,Males,Inverclyde,59
2020,March,Males,Midlothian,39
2020,March,Males,Moray,48
2020,March,Males,Na h-Eileanan Siar,13
2020,March,Males,North Ayrshire,89
2020,March,Males,North Lanarkshire,195
2020,March,Males,Orkney Islands,15
2020,March,Males,Perth and Kinross,87
2020,March,Males,Renfrewshire,106
2020,March,Males,Scottish Borders,76
2020,March,Males,Shetland Islands,11
2020,March,Males,South Ayrshire,58
2020,March,Males,South Lanarkshire,180
2020,March,Males,Stirling,43
2020,March,Males,West Dunbartonshire,60
2020,March,Males,West Lothian,71
2020,April,Females,Scotland,3835
2020,April,Females,Aberdeen City,110
2020,April,Females,Aberdeenshire,145
2020,April,Females,Angus,100
2020,April,Females,Argyll and Bute,67
2020,April,Females,City of Edinburgh,322
2020,April,Females,Clackmannanshire,37
2020,April,Females,Dumfries and Galloway,98
2020,April,Females,Dundee City,126
2020,April,Females,East Ayrshire,79
2020,April,Females,East Dunbartonshire,91
2020,April,Females,East Lothian,87
2020,April,Females,East Renfrewshire,71
2020,April,Females,Falkirk,136
2020,April,Females,Fife,232
2020,April,Females,Glasgow City,472
2020,April,Females,Highland,123
2020,April,Females,Inverclyde,105
2020,April,Females,Midlothian,88
2020,April,Females,Moray,48
2020,April,Females,Na h-Eileanan Siar,15
2020,April,Females,North Ayrshire,101
2020,April,Females,North Lanarkshire,246
2020,April,Females,Orkney Islands,15
2020,April,Females,Perth and Kinross,94
2020,April,Females,Renfrewshire,176
2020,April,Females,Scottish Borders,62
2020,April,Females,Shetland Islands,13
2020,April,Females,South Ayrshire,91
2020,April,Females,South Lanarkshire,241
2020,April,Females,Stirling,58
2020,April,Females,West Dunbartonshire,90
2020,April,Females,West Lothian,96
2020,April,Males,Scotland,3856
2020,April,Males,Aberdeen City,119
2020,April,Males,Aberdeenshire,182
2020,April,Males,Angus,78
2020,April,Males,Argyll and Bute,77
2020,April,Males,City of Edinburgh,338
2020,April,Males,Clackmannanshire,34
2020,April,Males,Dumfries and Galloway,96
2020,April,Males,Dundee City,140
2020,April,Males,East Ayrshire,94
2020,April,Males,East Dunbartonshire,68
2020,April,Males,East Lothian,65
2020,April,Males,East Renfrewshire,62
2020,April,Males,Falkirk,104
2020,April,Males,Fife,220
2020,April,Males,Glasgow City,497
2020,April,Males,Highland,134
2020,April,Males,Inverclyde,111
2020,April,Males,Midlothian,63
2020,April,Males,Moray,36
2020,April,Males,Na h-Eileanan Siar,18
2020,April,Males,North Ayrshire,115
2020,April,Males,North Lanarkshire,268
2020,April,Males,Orkney Islands,11
2020,April,Males,Perth and Kinross,105
2020,April,Males,Renfrewshire,154
2020,April,Males,Scottish Borders,78
2020,April,Males,Shetland Islands,8
2020,April,Males,South Ayrshire,100
2020,April,Males,South Lanarkshire,245
2020,April,Males,Stirling,58
2020,April,Males,West Dunbartonshire,76
2020,April,Males,West Lothian,102
2020,May,Females,Scotland,2891
2020,May,Females,Aberdeen City,107
2020,May,Females,Aberdeenshire,82
2020,May,Females,Angus,61
2020,May,Females,Argyll and Bute,68
2020,May,Females,City of Edinburgh,260
2020,May,Females,Clackmannanshire,32
2020,May,Females,Dumfries and Galloway,80
2020,May,Females,Dundee City,90
2020,May,Females,East Ayrshire,63
2020,May,Females,East Dunbartonshire,76
2020,May,Females,East Lothian,46
2020,May,Females,East Renfrewshire,60
2020,May,Females,Falkirk,90
2020,May,Females,Fife,177
2020,May,Females,Glasgow City,338
2020,May,Females,Highland,116
2020,May,Females,Inverclyde,58
2020,May,Females,Midlothian,49
2020,May,Females,Moray,44
2020,May,Females,Na h-Eileanan Siar,8
2020,May,Females,North Ayrshire,82
2020,May,Females,North Lanarkshire,166
2020,May,Females,Orkney Islands,12
2020,May,Females,Perth and Kinross,81
2020,May,Females,Renfrewshire,83
2020,May,Females,Scottish Borders,64
2020,May,Females,Shetland Islands,9
2020,May,Females,South Ayrshire,74
2020,May,Females,South Lanarkshire,207
2020,May,Females,Stirling,43
2020,May,Females,West Dunbartonshire,65
2020,May,Females,West Lothian,100
2020,May,Males,Scotland,2890
2020,May,Males,Aberdeen City,95
2020,May,Males,Aberdeenshire,118
2020,May,Males,Angus,73
2020,May,Males,Argyll and Bute,35
2020,May,Males,City of Edinburgh,237
2020,May,Males,Clackmannanshire,26
2020,May,Males,Dumfries and Galloway,76
2020,May,Males,Dundee City,101
2020,May,Males,East Ayrshire,79
